OrderID,OrderDate,CustomerID,Region,ProductCategory,Sales,Profit
1064,2023-09-22,C011,West,Office Supplies,291.76,24.42
1128,2023-09-22,C003,South,Electronics,873.02,230.27
1069,2023-09-25,C060,East,Office Supplies,105.59,9.87
1182,2023-09-25,C045,East,Electronics,1187.52,252.52
1073,2023-10-01,C029,South,Office Supplies,194.87,28.36
1225,2023-10-01,C032,West,Office Supplies,190.99,19.6
1003,2023-10-04,C009,North,Furniture,544.01,97.09
1103,2023-10-10,C035,West,Electronics,1030.88,207.85
1188,2023-10-13,C034,South,Furniture,284.17,48.0
1192,2023-10-13,C028,East,Office Supplies,170.11,11.71
1161,2023-10-22,C014,East,Furniture,304.82,42.79
1017,2023-10-25,C052,North,Furniture,659.37,141.86
1169,2023-10-28,C017,West,Furniture,730.24,94.27
1001,2023-11-03,C008,North,Furniture,310.78,33.35
1009,2023-11-03,C024,West,Electronics,848.75,178.27
1177,2023-11-03,C022,West,Office Supplies,161.61,20.13
1239,2023-11-03,C050,North,Furniture,629.43,83.84
1018,2023-11-06,C049,East,Electronics,1089.89,179.61
1085,2023-11-06,C007,North,Furniture,267.8,41.1
1163,2023-11-06,C048,South,Office Supplies,261.04,27.56
1090,2023-11-12,C039,East,Furniture,582.38,77.55
1005,2023-11-15,C033,North,Office Supplies,126.7,16.89
1051,2023-11-18,C004,North,Electronics,798.75,178.2
1218,2023-11-18,C053,East,Electronics,544.46,124.3
1074,2023-11-27,C003,South,Furniture,250.34,20.91
1115,2023-11-27,C048,West,Furniture,374.7,29.55
1235,2023-12-12,C003,West,Electronics,1039.03,207.09
1016,2023-12-15,C041,South,Office Supplies,168.78,25.1
1231,2023-12-27,C042,East,Furniture,556.83,89.47
1234,2023-12-27,C058,West,Office Supplies,283.55,46.11
1010,2023-12-30,C015,East,Electronics,507.21,131.3
1144,2024-01-02,C048,East,Furniture,193.6,29.5
1121,2024-01-05,C055,West,Furniture,749.62,88.74
1184,2024-01-05,C054,East,Electronics,414.71,78.33
1224,2024-01-17,C021,North,Electronics,429.61,85.65
1132,2024-01-20,C056,North,Electronics,829.92,127.65
1230,2024-01-20,C025,South,Electronics,655.0,149.25
1028,2024-01-23,C049,West,Office Supplies,77.79,6.87
1071,2024-01-23,C006,South,Electronics,740.35,114.68
1020,2024-01-26,C058,North,Office Supplies,153.97,18.13
1055,2024-01-26,C059,West,Electronics,690.47,177.48
1172,2024-01-26,C012,East,Furniture,555.7,96.83
1063,2024-01-29,C022,West,Furniture,788.55,110.75
1086,2024-01-29,C052,North,Electronics,859.58,183.75
1193,2024-01-29,C047,South,Electronics,437.57,105.33
1088,2024-02-04,C033,South,Office Supplies,84.44,8.74
1215,2024-02-04,C029,North,Office Supplies,207.87,31.88
1058,2024-02-07,C024,West,Electronics,481.43,116.76
1150,2024-02-07,C046,East,Electronics,819.51,229.59
1134,2024-02-10,C024,West,Electronics,990.0,166.51
1140,2024-02-10,C038,South,Electronics,410.48,108.8
1179,2024-02-13,C030,North,Electronics,417.98,97.1
1137,2024-02-19,C049,North,Furniture,264.65,13.23
1176,2024-02-28,C055,North,Furniture,714.5,118.58
1199,2024-03-02,C004,South,Electronics,780.84,187.19
1095,2024-03-11,C028,North,Office Supplies,111.37,13.45
1021,2024-03-23,C052,West,Furniture,787.02,52.97
1157,2024-03-26,C036,South,Office Supplies,89.93,13.39
1196,2024-03-26,C060,North,Furniture,337.65,31.65
1019,2024-03-29,C049,West,Office Supplies,286.37,14.85
1118,2024-04-04,C037,West,Electronics,804.71,140.81
1124,2024-04-13,C035,South,Electronics,1147.49,228.98
1026,2024-04-16,C049,East,Office Supplies,210.24,33.26
1204,2024-04-22,C028,East,Electronics,485.28,93.11
1032,2024-04-25,C049,East,Electronics,431.45,95.53
1098,2024-04-28,C050,North,Furniture,739.21,45.5
1154,2024-04-28,C035,South,Electronics,915.2,172.87
1141,2024-05-01,C040,North,Electronics,930.83,194.77
1142,2024-05-01,C020,East,Office Supplies,53.04,4.02
1083,2024-05-04,C020,West,Furniture,777.27,128.13
1061,2024-05-13,C034,East,Electronics,628.08,139.4
1041,2024-05-22,C001,North,Electronics,997.98,242.57
1211,2024-05-22,C060,East,Office Supplies,54.73,6.4
1200,2024-05-25,C035,West,Electronics,986.06,224.22
1077,2024-05-28,C059,North,Furniture,237.37,45.16
1162,2024-05-28,C021,North,Office Supplies,225.01,23.63
1048,2024-06-06,C006,North,Furniture,227.85,24.32
1079,2024-06-06,C019,West,Electronics,945.2,227.97
1170,2024-06-06,C033,West,Furniture,318.63,61.16
1186,2024-06-18,C027,South,Office Supplies,103.99,8.41
1002,2024-06-21,C027,West,Electronics,1163.24,249.29
1214,2024-07-06,C024,West,Office Supplies,247.77,35.78
1206,2024-07-12,C029,North,Office Supplies,215.87,41.19
1030,2024-07-15,C017,East,Furniture,284.12,30.85
1043,2024-07-15,C002,North,Electronics,825.69,177.43
1075,2024-07-15,C020,South,Office Supplies,159.91,15.02
1120,2024-07-15,C059,West,Furniture,602.82,107.92
1007,2024-07-18,C042,West,Electronics,1017.85,271.94
1046,2024-07-21,C026,West,Office Supplies,35.42,2.24
1047,2024-07-21,C032,South,Office Supplies,116.96,11.01
1049,2024-07-21,C032,North,Office Supplies,270.44,50.7
1100,2024-07-21,C031,South,Office Supplies,67.6,11.2
1109,2024-07-21,C057,North,Office Supplies,258.54,28.23
1222,2024-07-21,C033,West,Office Supplies,262.75,38.69
1228,2024-07-21,C003,East,Electronics,452.29,83.32
1233,2024-07-21,C054,West,Electronics,419.52,93.68
1094,2024-07-24,C011,West,Furniture,450.74,49.44
1029,2024-07-27,C056,North,Electronics,470.96,101.59
1167,2024-07-30,C007,East,Furniture,205.58,33.52
1240,2024-08-14,C032,South,Office Supplies,125.75,13.67
1076,2024-08-17,C060,East,Electronics,669.28,148.51
1106,2024-08-20,C016,East,Office Supplies,235.86,23.8
1151,2024-08-23,C018,West,Furniture,436.5,87.23
1099,2024-08-26,C023,North,Electronics,899.39,144.67
1014,2024-08-29,C032,North,Office Supplies,135.91,6.8
1033,2024-09-01,C002,South,Furniture,669.62,81.7
1185,2024-09-04,C008,East,Furniture,744.29,117.47
1236,2024-09-04,C040,West,Electronics,783.9,216.65
1081,2024-09-07,C003,South,Furniture,417.7,72.3
1107,2024-09-07,C026,West,Electronics,1101.41,288.02
1171,2024-09-07,C048,West,Furniture,396.8,34.81
1180,2024-09-10,C038,West,Electronics,906.78,137.46
1044,2024-09-13,C053,South,Office Supplies,173.81,14.21
1112,2024-09-13,C049,East,Furniture,618.02,69.91
1011,2024-09-22,C059,South,Furniture,168.71,29.66
1111,2024-09-28,C060,South,Furniture,247.45,44.61
1164,2024-10-01,C020,East,Electronics,934.47,248.92
1012,2024-10-04,C054,East,Electronics,963.26,264.65
1108,2024-10-04,C048,North,Furniture,221.91,28.76
1135,2024-10-07,C052,East,Furniture,443.94,61.98
1159,2024-10-07,C004,West,Electronics,483.29,96.18
1119,2024-10-10,C032,South,Furniture,547.45,84.51
1226,2024-10-10,C023,North,Furniture,200.02,27.53
1096,2024-10-13,C057,East,Electronics,585.77,168.15
1175,2024-10-13,C022,South,Office Supplies,286.08,28.09
1039,2024-10-16,C032,West,Electronics,787.62,125.54
1165,2024-10-16,C056,West,Office Supplies,85.35,12.27
1042,2024-10-19,C019,North,Office Supplies,168.15,22.27
1093,2024-10-22,C001,West,Electronics,1053.28,145.85
1194,2024-10-25,C033,South,Furniture,203.82,24.66
1229,2024-11-03,C018,West,Office Supplies,115.13,20.48
1168,2024-11-09,C003,North,Electronics,737.14,125.28
1101,2024-11-12,C030,West,Office Supplies,244.39,35.51
1056,2024-11-15,C017,East,Electronics,684.88,202.98
1195,2024-11-15,C005,South,Furniture,542.05,68.05
1147,2024-11-21,C025,South,Electronics,552.55,120.84
1189,2024-11-21,C021,South,Furniture,157.15,25.18
1197,2024-11-21,C048,South,Furniture,381.19,42.3
1227,2024-11-21,C033,North,Electronics,957.03,258.62
1237,2024-11-27,C046,North,Electronics,902.0,182.37
1146,2024-11-30,C035,West,Office Supplies,85.39,9.75
1025,2024-12-06,C003,South,Electronics,676.53,147.14
1036,2024-12-06,C054,South,Electronics,1044.96,220.66
1133,2024-12-06,C033,East,Electronics,1135.88,191.28
1113,2024-12-09,C002,East,Office Supplies,203.11,27.73
1122,2024-12-09,C009,South,Electronics,861.03,205.66
1198,2024-12-09,C019,South,Office Supplies,182.93,29.66
1190,2024-12-21,C030,North,Office Supplies,192.14,30.61
1067,2024-12-24,C033,North,Furniture,584.62,90.02
1138,2024-12-27,C008,South,Furniture,744.65,110.08
1207,2024-12-27,C046,North,Electronics,747.86,185.7
1053,2024-12-30,C011,West,Electronics,996.35,177.86
